tagOf_first_row
Sirius is alive!
Part 4 of Wolfstar Lives AU
slight au what with sirius being alive
Sirius lives because I want him to
AU: Sirius lives
sirius is alive because his death killed me
sirius thoughts
Sirius Black Lives
Sirius ALSO LIVES Because Fuck You
Live! Sirius
Sirius doesnt die AU
mostly siriuss pov
alive Surius
mostly canon compliant but i could not kill sirius
Canon Divergence - Sirius Lives
sirius black is a dumb gay bitch
Sirius and Remus live
young sirius
Sirius Black is alive
Sirius Black P.O.V
Sirius Survives!
Part 2 of Wolfstar Lives AU
Young!Sirius
SiriusLives
I despise Sirius’ death and his ending so Imma just pretend it never happened
sirius doesnt fall through the veil
Sirius Lives
Wolfstar is alive!
sirius’ gay awakening
au - Serius lives
Sirius Black POV
AU-Remus and Sirius live
Siriuss POV
Remus and Sirius survive
sirius lives because i love him okay
Sirius survives the Battle of the Department of Mysteries
Sirius also lived
Homosexual Sirius
but Sirius will make it
Gay Sirius Black
Sirius isnt dead here cause i want him in this story so please dont kill me i love him so much
Gay!Sirius
Sirius is very gay back
SIRIUS IS ALIVE
Sirius is not dead
Sirius is a gay bab
Sirius is alive.
Alive Sirius Black
Alive Sirius
sirus lives
1st POV (Sirius)
so sirius and remus dont die
sirius didnt die because fuck that
Young Sirius Black
sirius is alive in this
Sirius Vive
Sirius lived
sirius and remus survived the war
POV Sirius
Sirius is REALLY gay
mainly Siriuss POV
Sirius Lives!
Sirius lives becuase I want him to
Sirius lives!kinda
Remus and Sirius are alive
Sirius Blacks POV
Part 3 of Wolfstar Lives AU
POV Sirius Black
Sirius pov
alive sirius!!!!
Mainly Sirius POV
as in Sirius doesnt die
Sirius is Gay
and sirius is so gay for him
Sirius Black & Remus Lupin Live
Sirius lives..... eventually
Gay!Sirius Black
because this is an au i can do what i want so i day sirius didn’t die okay okay
sirius lives au
Sirius PoV
Alternate Universe - Sirius Lives
Gay Sirius Black (Mostly)
AU - Sirius Lives
sirius didnt die
HP AU where Remus and Sirius are alive
hell yeah Sirius does not die
fix Sirius death
Sirius is alive AU
sirius is hella gay
Oh Sirius lives too
sirius is just super gay
Sirius Black Is Not Dead
Gay Sirius
sirius is fine
Sirius e Remus vivem
Part 1 of Wolfstar Lives AU
Sirius never died and you cant make me think otherwise
Homosexual Sirius Black
Sirius Black lives au
Sirius Doesnt Die
Alive Sirus
Sirius Black did not die
Sirius doesnt die because we all love him
From Sirius point of view
Sirius fixit
SiriusPOV
Alive!Sirius (Compliant with AU)
except for sirius being alive
Tentatively Sirius POV
Alive!Sirius
AU in that Sirius lives
and sirius being painfully gay
Alive!Sirius Black
AU Sirius Lives
