tagOf_first_row
Dumbledore is not sinless
Dumble Bashing
a touch of Dumbledore bashing
dumbledore bashing (kinda)
Dumbledoor Bashing
bashed Dumbles a bit
hes sort of manipulative dumbledore but canon
I lied Serious Dumbledore Bashing
A Bit Manupilative Dumbledore
Dumbledore bashing (slightly)
Manipulative Dumbledore Bashing
also dumbledore hate
bad guy dumbledore
Anti-Dumbledore Content
Not so good Dumbledore
Dumbledore Bashing is the best kind of bashing
Not Albus Dumbledore Friendly
Dumbledore is not a good man
Manipulative Dumbledore
Albus is slightly manipulative
Malo Dumbledore
sometime dumbledore bashing
Dumbledore is (you guessed it) evil
bad dumbledor
Albus Dumbledore Bashing (Minor)
Dumbledore lives!
Dumbledore túléli a háborút.
Also Bad Dumbles
just dumbledore manipulative self
some Dunbledore bashing
Implied Albus Dumbledore Bashing
Alternate Universe - Bad Dumbledore
Dumbldore bashing
Very Evil Dumbledore
Manipulative!Dumbledore - Character
Dumbledores still alive
dumbledore is very manipulative
Dumbeldore Bashing
albus dumbledore is manipulative but thats just canon
alive dumbledore
Dumbledore is bad
dumbledore bashing probably
Implied Manipulative Dumbledore
Dumbledore Manipulates
there will probably be Dumbledore bashing
but also bad Dumbledore
some minor Dumbledore bashing
Evil Dumbles
I have to admit to some Dumbledore bashing
Hinted/Mention Manpulative Dumbledore
Subtle Dumbledore Bashing
Semi Dumbledore Bashing
Dumbledoe Bashing
Evil-Dumbledore
Much Dumbledore bashing
Evil Dumbledoor
Albus is a manipulative douchecanoe...
Dumbledore Bashing (mild)
Dumbledore is rather manipulative
evil dumblydore
Dumbledore Bashing
Bad Dumbledore?
Dumbledore is a very very bad man
Evil Dumbledore.
Albus Bashing
Manipulating!Dumbledore
Dumbledore is still alive
bad!Dumbles
mild dumbledore bashing if you squint
Manipulate! Dumbledore
Albus Dumbledore is a wanker
Manipulative Albus Dumbledore
kinda Albus Dumbledore bashing
Dumbldore Bashing-Slight
mild mentions of AD bashing and abuse-nothing explicit
Brumbál žije!
Dumblebore Bashing
dumbledor bashing
dumbles bashing
Not Dumbledore Friendly
DumbledoreBashing!
manipulative!Dumbledore
Probably gonna be some major Dumbledore bashing
But dumbledick is getting completely bashed
Minor Dumbledore!bashing
Sometimes I have major Dumbledore hate
Alternate Universe - Evil Albus Dumbledore
Evil Albus Dumbledore
Probably going to have some dumblebashing
Kinda Dumbledore Bashing
Albus Dumbledore Bashing
Albus Dumbledore can go fuck himself
Bashing Albus Dumbledore
Bad Albus Dumbledore
Manipulative Dumbles
memories of manipulative dumbledore
Alive Albus Dumbledore
so dont read this if you are a huge Dumbledore fan
theres going to be a ton of dumbledore bashing
Manipulative but Well-Meaning Dumbledore
Severe Dumbledore Bashing!
Dumbledore-manipulator
perhaps evil Dumbledore
Anti-Dumbledore
Maybe a little Dumbledor bashing
Manipulative! Dumbledore
ALIVE!Dumbledore
Dumbledore is a Dumbledick
Bad Dumbledore
I mean major Dumbledore bashing
I hate Dumbledore btw
dumbledore lives AU
ablus dumbledore bashing
Bad Dumbledore (cause its so easy)
Machiavellian Dumbledore
I wrote Dumbledore as someone more manipulative
Evil....all evil
Dumbledore is a manipulator
Dumbledore is not dead
Evil Dumbldore
Albus Dumbledore bashing (mentioned)
slight dumbledore bashing but just a touch bc lbr he was irresponsible
evil dubledore
Evil!Dumbledore (Kind of)
Manipulative Albus Dumbledore - hinted
Dumbledore bashing-ish
Evil Manipulator Dumbledore
Bad Dumbles
Albus Dumbledore is not a good man
Albus Dumbledore Manipulates
evil!dumbles
light Dumbledore Bashing
dumbledore is still a dick
Albus Dumbledore is Alive
dumbledorbashing
mentions of manipulative!Dumbledore
bad!Dumbledore
Evil Dumbledore
some Dumbledore bashing
Dumbledore is an evil bastard
Albus Dumbledore doesnt die
probable Dumbledore bashing
Very Manipulative Dumbledore
slight dunbledore bashing
Dumbledire Bashing
Albus Dumbledore the manipulative old codger
Dumbledore is Manipulative
Sort of Dumbledore Negative
AD bashing
Manipulative Duumbles
Kind of manipulative Dumbledore
bad Dumbldore
Doumbledore Bashing
AU Dumbledore Bashing
Canonical Dumbledore bashing
dumbles bashing
bad-Dumbly
Dumbledores manipulative
kind of Dumbledore bashing
Not a Dumbledore fan
Brief-Dumbledore Bashing
Dumbledore is a manipulative little shit and you cant convince me otherwise
Implied Dumbledore-bashing
Albus Dumbedore Bashing
Manipulative Dumbledore (Behind the Scenes)
minor albus dumbledore bashing
Heavy Dumbledore Bashing
A bit of Dumbledore Bashing
Bashing Dumbledore
slight dumbledore bashing (only slight)
Anti Dumbledore
Bashing!Dumbedore
Kinda Manipulative Albus Dumbledore
Dumbledore malo (?)
Dumbledore Lives
Incredibly manipulative Dumbledore
bad Dumbeldore
Dumbledore is alive
Dumbledore Bashing (heavy this time)
Mild Albus Dumbledore Bashing
dumbledore lives (unfortunately)
i fucking hate dumbledore so dont be surprised at what I do to him
Dumbles the evil
mild Dumbledore-bashing
good old-fashioned dumbledore bashin
dumbledore!bad
major shade thrown at Dumbledore
possible Dumbledore Bashing
Bad bad bad albus dumbledore
Just Bad Dumbledore
Evil Albus Dumbledore AU
Some Dumbledore Bashing But Not Much... Yet
May contain a bit of manipulative dumbledore
Dumbledore Alive
Dumbledore-bashing
Light Albus Dumbledore Bashing
Minor Dumbledore bashing
Manipulative Dumbledore!
Manipulative dumbledore.
Dumbledore is evil
Mentions of Dumbledore Bashing
Albus Dumbeldore bashing
Manipulative Dumbledore but not really bad
manipulative!dumbles
evil!Albus
off-screen Manipulative Dumbledore
Brief mention of Dumbledore bashing
Dumbles is a manipulative old codger
Adding Dumbledore bashing too
its from a slytherin POV of course theres dumbledore bashing
And will also have some Manip!Dumbles
Slight Dumbledore Bashing
Dumbledore bashing with a twist
Albus Dumbledore is a twat
manipultive dumbledore
Dumbledore!bashing
Albus Dumbledore Being Manipulative
Manipulative/Dumbledore!
Dumbledore critic
Mild Dumbledore Bashing
Albus Dumbledore Lives
dumbledorebashing
Might be considered Dumbledore Bashing?
i hate dumbles
But Dumbledore is still a manipulative bastard
dumbledore is a master manipulator
albus lives
Little bit of Dumbledore bashing
Albus is suuuuuper manipulative so sorry
This may be considered Dumbledore Bashing
Machinating Dumbledore
Slight Albus Dumbledore bashing
Minor Dumbledore-Bashing
evil!Dumbledore
Dumbledore bashing cause why not?
Mild Dumbledore Basing
evil asshole dumbledore
Occasional Albus Dumbledore Bashing
Bashing of Dumbledore
Is it still Dumbledore bashing if its in an alternate universe?
Major Dumbledore Bashing
alive dumbledor!!!
Probably Albus Dumbledore bashing
dumbldore idle bashing
Dumbledore bashing?
Bashing of Albus Dumbledore
