header: tagOf Draco Malfoy
Draco is an Auror
top malfoy
Bottom!DracoMalfoy
Part Veela Draco
bottom!Draco
Bottom Draco mostly
Professor! Draco
Good but still snarky with attidude Draco
Malfoy redemption arc
oblivous draco
Dracos POV for the most part
healer!Draco
Draco Is Redeemed
Veela Draco Malfoy
DPOV
draco being dense
draco pining
veela! draco
Dracos gay
Draco Top
draco is quite gay
Dracos POV (mostly)
DracoSub!
My opinion is that Draco’s a needy bottom thanks for ur time
Draco Malfoy POV
redemption arc for Draco Malfoy because yall......
Good!Malfoy
dracos perspective
topdraco
Implied Bottom Draco
Draco!Bottom
Professor!Malfoy
pinning!Draco
really hella gay Draco
draco bottom
POV Draco
mind healer!draco
healer! draco
but seen through Dracos eyes
Punto de Vista de Draco Malfoy
draco is lowkey homo
Draco being oblivious
also pining Draco
Draco being a good person
draco is oblivious because hes so focused
Top Darco Malfoy
Malfoys viewpoint
Pining Draco Malfoy
POV Draco Malfoy (Rigel Black Chronicles)
interesting draco veela
Draco turns good
Dracos pov mostly
Draco!Sub
Gay Draco Malfoy
but from dracos POV
Draco works in the Auror Dept
Draco Malfoy in the Muggle World
draco is oblivious
AurorDraco
topdracomalfoy
Homosexual Draco Malfoy
Omega/Draco
draco malfoy is really gay
But mostly Draco POV
gay!draco
Oblivious Draco Malfoy
GoodDraco
Omega Draco
Reformed!Draco
Good Draco
Top!Draco Malfoy
Draco is probably gay too
Draco has a mini redemption arc
Original is Harry POV and this one is Draco POV
Reformed Draco Malfoy
Professor!Draco Malfoy
Potions-master Draco
Everything is the same expect Dracos there and hes a good guy
Dracos POV
Submissive Draco
Draco Malfoy is a moody potions professor
draco is a healer
Draco is gay
Draco is a good guy
Draco po jasnej stronie
draco is lowkey pining
the redemption draco deserves
draco is really gay
Pining Draco
top!draco
Oblivious!Draco
Draco is actually a sweetheart
DracoPoV
Hinted at Bottom Draco
Draco is a veela
Draco redemption arc
first person pov: draco malfoy
draco redemption
a very gay Draco
Professor Draco
Sub!Draco
Omega Draco Malfoy
Professor of Potions Draco
Draco Bottoms
Draco is nice and saves the story
Draco is openly gay
because gay draco is the only acceptable draco tbh
chapter one is dracos pov
first person draco
Draco Malfoy but...oh wait we already knew he was fucking gay
sub!Drago
Draco Malfoy is redeemed
Submissive!Draco
draco is v gay
draco likes boys
top-draco
potions master draco
Draco’s POV
Auror Draco Malfoy
very minor pining draco because i couldnt help myself
Potions Proffesor Draco Malfoy
