tagOf_first_row
Part 4 of Wolfstar Lives AU
Remus Lupin point of view
fix Remus death
Bi remus lupin
bisexual! remus
Remus Internal Monologue
AU - Remus lives
Werewolf Lupin - Freeform
Alive!Remus Lupin
WELL REMUS IS BI
Basically lupin is a werewolf
Remus is a slightly less big bi disaster
Remus Lupin deserves all the hugs
remus is a werewolf more like a teen wolf werewolf
Remus vive
Sirius and Remus live
mainly remus pov
events from Remus POV
Part 2 of Wolfstar Lives AU
Remus Lupin Needs a Hug
Bi!Remus
Wolfstar is alive!
remus and tonks are alive too because I DO WHAT I WANT
Remus point of view
AU-Remus and Sirius live
Remus and Sirius survive
Remus is alive
eventual bi Remus Lupin
Remus’s POV
Remus Lupin Lives
Remus Lupin & Nymphadora Tonks Live
Bisexual!Remus
Warewolf Remus
Remus Lives
Remus Lives AU
Bisexual Remus Lupin
Werewolf!Remus
AU: Lupins Live
so sirius and remus dont die
what if remadora didnt die
POV: remus
REMUS DOESN’T DIE
Remus and Tonks live
But everything is canon except that Remus survived
also Remus is alive bc I said
Remus & Tonks live AU
POV Romulus Lupin
Remus Survives
remus is a bi baby
POV Remus Lupin (brief)
Remus Lupin is a useless bisexual
alive remus!!!
and remus lupin is a hot bisexual
POV Remus Lupin (sometimes)
sirius and remus survived the war
Remus lupin too is alive here
Remus is still a werewolf
Werewolf Remus Lupin
remus is bisexual
remuss gobba be bi bc we know it
mostly Remus POV
Bi! Remus
POV Remus
werewolf!Lupin
Remus and Sirius are alive
Part 3 of Wolfstar Lives AU
remus lives!
All from Remus POV
Remus and Tonks live!
bc Remus is alive
Alive remus
somebody hug remus lupin
i also love bi remus so
Bi Remus
au where remus lives
remus lives too because i love....him
Sirius Black & Remus Lupin Live
bisexual remus
Remus and Tonks lived
it’s Remus’ POV
Bisexual - Remus
Remus POV
Tonks and Remus survived the second war
tonks and remus lived through the battle of hogwarts
HP AU where Remus and Sirius are alive
Remuss POV
Remadora Survives AU
remadora lives
Biexual!Remus
Sirius e Remus vivem
Part 1 of Wolfstar Lives AU
Remus and Tonks survive the Battle of Hogwarts
Bisexual!Remus Lupin
remus still gets bit yall
Alive Remus Lupin
Remus does not die
Nymphadora and Remus alive
ALIVE!Remus
Living Remus Lupin
Not entirely canon (remus is alive for one)
Remus needs a hug
Lupin POV
Remus Didnt Die
I didnt even originally tag this with tonks/lupin lives
Remus POV
Remus is a Werewolf
Remus Lupins POV
Werewolf Remus
Remus lived
Remus is Bi
POV Remus Lupin
Remus Lupin POV
Remus Lupin lives au
Alive Remus and Tonks
Primarily Remus Lupin’s POV
YES REMUS IS ALIVE SHUT UP
